circRNA	circRNA_type	GeneSymbol	P	log10FC	reg	sig
hsa_circRNA_082501	exonic	NUP205	0.214961642705267	0.105683937315562	up	no
hsa_circRNA_407247	sense overlapping	AK308944	0.299677243646793	0.0162208692479315	up	no
hsa_circRNA_007418	exonic	ZBTB40	0.0760339535855992	0.0484466290714564	up	no
hsa_circRNA_407121	exonic	MTSS1	0.174988895860731	0.152875749832972	up	no
hsa_circRNA_407087	exonic	TRAM1	0.190984766051875	0.204808064894242	up	no
hsa_circRNA_061985	exonic	PTTG1IP	0.211534529200553	0.106364975253521	up	no
hsa_circRNA_404446	exonic	CAPZB	0.125605133124027	0.148878436523275	up	no
hsa_circRNA_043081	exonic	CCT6B	0.279928879957943	0.0499134503318329	up	no
hsa_circRNA_401039	exonic	GIT2	0.107191883872384	0.0999470497335385	up	no
hsa_circRNA_400114	exonic	RERE	0.165317964908634	0.132237975349799	up	no
hsa_circRNA_100501	exonic	FMN2	0.480128524363395	0.0098292633115091	up	no
hsa_circRNA_000654	exonic	CHD2	0.120056415694098	0.161105191647891	up	no
hsa_circRNA_104195	exonic	PDE7B	0.0951798748718078	0.128838777408055	up	no
hsa_circRNA_404754	exonic	CCDC6	0.175811011279224	0.186806000709638	up	no
hsa_circRNA_103950	exonic	FAM13B	0.342352425268498	0.0250356415817372	up	no
hsa_circRNA_007390	exonic	NPTN	0.303505346410391	0.031182850212256	up	no
hsa_circRNA_008846	exonic	DEK	0.15426072487289	0.154220713599931	up	no
hsa_circRNA_000542	exonic	ARID4A	0.37476391091791	0.0522638966262752	up	no
hsa_circRNA_404789	exonic	KIF20B	0.0436363530367645	0.0892231843417654	up	no
hsa_circRNA_007645	sense overlapping	GLOD4	0.457059212541742	0.00764174229387542	up	no
hsa_circRNA_102997	exonic	KIF16B	0.208162512628438	0.162787212581178	up	no
hsa_circRNA_402543	exonic	GINS1	0.209162645648019	0.0764364858049664	up	no
hsa_circRNA_404823	exonic	FAM196A	0.31376319487958	0.0256771166476627	up	no
hsa_circRNA_103917	exonic	RHOBTB3	0.166093632225758	0.109609104627088	up	no
hsa_circRNA_102887	exonic	SATB2	0.486821843236295	-0.00244796732549704	down	no
hsa_circRNA_405950	exonic	RALB	0.132147160889306	0.069228052824248	up	no
hsa_circRNA_054947	exonic	UGP2	0.169260274275854	0.070829171682859	up	no
hsa_circRNA_406825	intronic	SMPD2	0.104360111622598	0.0872853646637749	up	no
hsa_circRNA_031460	exonic	HECTD1	0.0205025193332422	0.0738336650740392	up	no
hsa_circRNA_407023	intergenic		0.0246861410803281	0.0305967675917693	up	no
hsa_circRNA_406859	exonic	AHI1	0.334869937974049	0.0826782164837074	up	no
hsa_circRNA_102776	exonic	ST3GAL5	0.425827305864535	0.0239595255116811	up	no
hsa_circRNA_100098	exonic	KDM1A	0.202299473958542	0.088500175195456	up	no
hsa_circRNA_406086	sense overlapping	CSRP2BP	0.187917228991311	0.0663196494755643	up	no
hsa_circRNA_061825	exonic	TFF1	0.0133240520154795	0.0538550481682343	up	no
hsa_circRNA_104215	exonic	TAB2	0.26730197286276	0.10217916608402	up	no
hsa_circRNA_401118	exonic	ZMYM2	0.161563870955525	0.120027132919071	up	no
hsa_circRNA_092547	exonic	SMARCA5	0.194339941694648	0.111715848127188	up	no
hsa_circRNA_101560	exonic	DPP8	0.122832440017067	0.0671584857020256	up	no
hsa_circRNA_102799	exonic	SEPT10	0.11939085238332	0.0873953320798573	up	no
hsa_circRNA_004103	exonic	BIRC2	0.474749192560882	0.00663902582511211	up	no
hsa_circRNA_000566	exonic	VRK1	0.282032476459929	0.0768883971356294	up	no
hsa_circRNA_006759	exonic	WDPCP	0.324714254348723	0.0719758969006086	up	no
hsa_circRNA_000052	exonic	EIF2C1	0.245035285696914	0.0784457768085137	up	no
hsa_circRNA_004767	exonic	ZZEF1	0.174710015015054	0.0782774070493802	up	no
hsa_circRNA_101633	exonic	PDE8A	0.0908381553280322	0.0988078797511421	up	no
hsa_circRNA_101915	exonic	FANCA	0.0915038556108849	0.087309989697485	up	no
hsa_circRNA_102445	exonic	CARM1	0.329207406380896	0.050116819327309	up	no
hsa_circRNA_002518	exonic	DHX15	0.122628194093755	0.12057393120585	up	no
hsa_circRNA_102323	exonic	TMEM241	0.0813240065187242	0.0312312373640787	up	no
hsa_circRNA_015839	exonic	CAMSAP2	0.143927413527008	0.178521564680932	up	no
hsa_circRNA_402980	exonic	ATP1B3	0.0970190316503859	0.0710386736918305	up	no
hsa_circRNA_402979	exonic	ATP1B3	0.0294251538166183	0.0846119190377177	up	no
hsa_circRNA_068767	exonic	RPL35A	0.031201712596707	0.0797765778501061	up	no
hsa_circRNA_007263	exonic	PTPN13	0.0555627507792746	0.131672119267268	up	no
hsa_circRNA_102820	exonic	UGGT1	0.0916492985317765	0.065154745105766	up	no
hsa_circRNA_405348	exonic	DYX1C1	0.0347856112110567	0.111365929419026	up	no
hsa_circRNA_016363	exonic	NEK2	0.24037161006032	0.0397018617773636	up	no
hsa_circRNA_092482	sense overlapping	TGOLN2	0.286117759798843	0.0935508282850024	up	no
hsa_circRNA_000572	exonic	PPP1R13B	0.21799374878173	0.0810572510463801	up	no
hsa_circRNA_087119	exonic	TCONS_l2_00029343	0.430275216061052	-0.0147572326494966	down	no
hsa_circRNA_068784	exonic	ZNF141	0.0938997149112776	0.0462552493336776	up	no
hsa_circRNA_088439	exonic	DENND1A	0.323771504606959	0.0355530270421953	up	no
hsa_circRNA_105045	exonic	BRCC3	0.13511082494698	0.147801619567804	up	no
hsa_circRNA_060539	exonic	SDC4	0.498571939987369	0.000181069205000749	up	no
hsa_circRNA_000829	exonic	SPIRE1	0.393335060088387	0.0173536185786483	up	no
hsa_circRNA_405678	sense overlapping	LINC00669	0.134601685893995	0.0253506401997966	up	no
hsa_circRNA_405869	intronic	PPM1B	0.159809026663866	0.103204246105745	up	no
hsa_circRNA_407150	exonic	KIAA2026	0.349790148629384	0.111892709151584	up	no
hsa_circRNA_402810	exonic	OSBPL10	0.474669514457494	0.00204807963582817	up	no
hsa_circRNA_068655	exonic	UBXN7	0.272612199789631	0.0487205030230439	up	no
hsa_circRNA_400196	exonic	AGO1	0.446600822386026	0.00865731953249854	up	no
hsa_circRNA_006131	exonic	SYNCRIP	0.222835189919234	0.113602714323699	up	no
hsa_circRNA_404245	exonic	ZNF483	0.00384526088969208	0.048020287918853	up	no
hsa_circRNA_006116	exonic	SMURF1	0.220912572359982	0.0487471449547109	up	no
hsa_circRNA_406648	exonic	YTHDC2	0.0402260712264127	0.0962484828239359	up	no
hsa_circRNA_001520	exonic	DCP2	0.198144970120376	0.0859805157554799	up	no
hsa_circRNA_103519	exonic	ZNF639	0.0697889341697969	0.0798509369774008	up	no
hsa_circRNA_103384	exonic	VPRBP	0.130922881441575	0.0328173047241999	up	no
hsa_circRNA_102642	exonic	ATAD2B	0.0822463267981126	0.0798157158199342	up	no
hsa_circRNA_405561	exonic	ATAD5	0.341331107580395	0.0283588828684293	up	no
hsa_circRNA_406838	intronic	RNF217	0.119233248082354	0.0466158574380605	up	no
hsa_circRNA_405727	intronic	HNRNPM	0.162272465112022	0.0925136466534539	up	no
hsa_circRNA_031775	exonic	RPS29	0.0422758932375208	0.0925206995791952	up	no
hsa_circRNA_017697	exonic	C10orf47	0.116458171593863	0.0349775835555714	up	no
hsa_circRNA_403034	exonic	MCF2L2	0.246588675174669	0.0330495249752943	up	no
hsa_circRNA_004520	sense overlapping	VAV2	0.199365540922157	0.0325602082386406	up	no
hsa_circRNA_003986	exonic	EIF2C4	0.166273492624218	0.154189417607851	up	no
hsa_circRNA_100137	exonic	SNRNP40	0.087032966100525	0.101798933100037	up	no
hsa_circRNA_101014	exonic	LRP6	0.0976563830048053	0.142806455571806	up	no
hsa_circRNA_102356	exonic	PSTPIP2	0.144234317485621	0.0665514373211957	up	no
hsa_circRNA_011933	exonic	CTPS	0.0720364830029608	0.21765866463543	up	no
hsa_circRNA_403832	exonic	TYW1B	0.381201015945594	0.0675619861350152	up	no
hsa_circRNA_000546	exonic	ZFYVE26	0.0253762989595337	0.0758533026986973	up	no
hsa_circRNA_047135	exonic	RBBP8	0.157681974708671	0.0339659658311171	up	no
hsa_circRNA_104979	exonic	WWC3	0.179135645297819	0.108819763255248	up	no
hsa_circRNA_006063	exonic	APBB1IP	0.128378871820692	0.108252693994883	up	no
hsa_circRNA_104496	exonic	EXOC4	0.141653371216786	0.0508001536800563	up	no
hsa_circRNA_101080	exonic	STAT2	0.413045267462606	-0.0214146990278597	down	no
hsa_circRNA_008091	exonic	NDUFS1	0.145511683498485	0.105485923186107	up	no
hsa_circRNA_026134	exonic	TUBA1C	0.255717086760958	-0.0563863386243456	down	no
hsa_circRNA_404086	exonic	AZIN1	0.21471460701087	0.0986506745843577	up	no
hsa_circRNA_104750	exonic	KIAA1797	0.338247639531537	0.0476539760280862	up	no
hsa_circRNA_102771	exonic	CTNNA2	0.33092947482802	0.0416163177491105	up	no
hsa_circRNA_404987	sense overlapping	ERGIC2	0.331799977443141	0.0234810958495229	up	no
hsa_circRNA_104082	exonic	LINC00340	0.239048539764611	0.0609564259414258	up	no
hsa_circRNA_004561	intronic	C8orf83	0.39324991555196	0.0361235320822617	up	no
hsa_circRNA_104876	exonic	SUSD1	0.075380567142731	0.137155692089124	up	no
hsa_circRNA_103727	exonic	PDE5A	0.125172581983612	0.158276925257833	up	no
hsa_circRNA_000980	antisense	None	0.00116870984080714	0.0726537637620107	up	no
hsa_circRNA_102798	exonic	SEPT10	0.161644816073459	0.109539821734486	up	no
hsa_circRNA_407330	exonic	ENOX2	0.378594037656238	0.0409802922909652	up	no
hsa_circRNA_103352	exonic	SCAP	0.103889262055457	0.104330187246012	up	no
hsa_circRNA_101466	exonic	HERC2	0.108518618508304	0.0781360121329749	up	no
hsa_circRNA_104385	exonic	TPST1	0.158514834840631	0.0875480214422156	up	no
hsa_circRNA_404317	exonic	KAL1	0.393985920176432	0.0233004371469019	up	no
hsa_circRNA_103433	exonic	ZBTB20	0.181609482135343	0.0743318103154687	up	no
hsa_circRNA_007074	exonic	YIPF1	0.118591190015618	0.0566017091420513	up	no
hsa_circRNA_066869	sense overlapping	TMEM39A	0.125658027044728	0.164787947971675	up	no
hsa_circRNA_101140	exonic	ATP2A2	0.0537923064334904	0.0904622564573139	up	no
hsa_circRNA_050999	exonic	RPS16	0.0280762433162272	0.0910196480487382	up	no
hsa_circRNA_020169	exonic	PRDX3	0.293604565098664	-0.0208710180136234	down	no
hsa_circRNA_407303	exonic	ATP7A	0.0762142629986977	0.0258767840933723	up	no
hsa_circRNA_101293	exonic	PCCA	0.175776784465028	0.0594613495521661	up	no
hsa_circRNA_100555	exonic	SEPHS1	0.175826252733131	0.0423243147222812	up	no
hsa_circRNA_062996	exonic	SYN3	0.0300236266971298	0.0475822599759225	up	no
hsa_circRNA_003063	exonic	PTPRM	0.174639440324934	0.0465601223260489	up	no
hsa_circRNA_075881	exonic	LRRC16A	0.0470891863421617	0.0390640228396424	up	no
hsa_circRNA_013959	exonic	ACP6	0.0584171785909737	0.0564833549190385	up	no
hsa_circRNA_405639	sense overlapping	RPTOR	0.112887824547178	0.104360689549053	up	no
hsa_circRNA_026023	exonic	SENP1	0.425113906707419	0.018152262344456	up	no
hsa_circRNA_000078	exonic	USP1	0.113288152890674	0.117540014535269	up	no
hsa_circRNA_000968	intronic	ZNF544	0.477326015381087	0.00443685149961594	up	no
hsa_circRNA_404701	sense overlapping	ZNF124	0.182000471200708	0.115130512657414	up	no
hsa_circRNA_005287	sense overlapping	CRYM-AS1	0.168232950344487	0.0400446411936239	up	no
hsa_circRNA_018168	exonic	PARD3	0.214812372103466	0.0389103636568111	up	no
hsa_circRNA_103167	exonic	UBE2L3	0.031676015685488	0.101160890161715	up	no
hsa_circRNA_400993	exonic	ZFC3H1	0.147469410819839	0.132173598866953	up	no
hsa_circRNA_104659	exonic	STK3	0.210396405118503	0.0437789245785872	up	no
hsa_circRNA_406619	exonic	CENPH	0.166926835199231	0.0894456997722273	up	no
hsa_circRNA_102878	exonic	SLC39A10	0.165791049609235	0.177186579893284	up	no
hsa_circRNA_104348	exonic	ELMO1	0.286623928854043	0.0402125363833685	up	no
hsa_circRNA_101996	exonic	SPECC1	0.204094912049215	0.141116960247223	up	no
