contrast	feature_id	gene_symbol_provider	provider_contrast	provider_regulation_original	provider_treatment_vs_vehicle_log2FC	provider_direction	provider_raw_p_value	provider_BH_FDR	provider_nominal_discovery	provider_FDR_significant	gene_symbol_limma	limma_treatment_vs_vehicle_log2FC	limma_direction	limma_raw_p_value	limma_BH_FDR	limma_nominal_discovery	limma_FDR_significant	same_treatment_vs_vehicle_direction	both_nominal_discovery	both_FDR_significant
IL4_vs_Vehicle	hsa_circRNA_072654	CWC27	V_vs_IL4	up	-1.065901	down	0.02655122408	0.737036278	TRUE	FALSE	CWC27	-1.06590183578531	down	0.000942136863073803	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_008417	MCTP1	V_vs_IL4	up	-0.634774999999999	down	0.03968130846	0.781813925	TRUE	FALSE	MCTP1	-0.634775145586449	down	0.00416427334217806	0.44696997986708	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_103158	CLTCL1	V_vs_IL4	up	-0.685595	down	0.01067736383	0.672144011	TRUE	FALSE	CLTCL1	-0.685594266568179	down	0.000720426865232307	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_006004	FAM98A	V_vs_IL4	up	-0.721509999999999	down	0.04177623749	0.781813925	TRUE	FALSE	FAM98A	-0.721509151810881	down	0.00354133764830569	0.437898888370758	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_000944	CCDC9	V_vs_IL4	up	-0.862619	down	0.03028414298	0.772064298	TRUE	FALSE	CCDC9	-0.862618214233043	down	0.0016022559926171	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_070578	NPNT	V_vs_IL4	up	-0.936489	down	0.01902451588	0.706453039	TRUE	FALSE	NPNT	-0.936489231260293	down	0.000663473566582281	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_061800	MX1	V_vs_IL4	up	-0.709728999999999	down	0.03968359686	0.781813925	TRUE	FALSE	MX1	-0.709729063116792	down	0.00337574052217257	0.437898888370758	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_000042	C1orf38	V_vs_IL4	up	-0.646663	down	0.03835606791	0.781033303	TRUE	FALSE	C1orf38	-0.646663218800356	down	0.0038339072830329	0.437898888370758	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_000578	DLEU2	V_vs_IL4	up	-0.741226	down	0.03333626998	0.778587146	TRUE	FALSE	DLEU2	-0.741226067583437	down	0.00241792654858717	0.423925129349764	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_000639	SETBP1	V_vs_IL4	up	-0.876258	down	0.01909509182	0.706453039	TRUE	FALSE	SETBP1	-0.876257634464356	down	0.000761974307029865	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_100043	ENO1	V_vs_IL4	up	-0.641837000000001	down	0.03828498925	0.781033303	TRUE	FALSE	ENO1	-0.641836205705065	down	0.00388251445948867	0.439627822632618	TRUE	FALSE	TRUE	TRUE	FALSE
IL4_vs_Vehicle	hsa_circRNA_049592	C19orf43	V_vs_IL4	up	-0.960514	down	0.03245561435	0.778587146	TRUE	FALSE	C19orf43	-0.960514137385992	down	0.00153407587035587	0.3997354006726	TRUE	FALSE	TRUE	TRUE	FALSE
