feature_id	alias	gene_symbol	direction_IL4	log2FC_IL4	P_IL4	FDR_IL4	direction_IL13	log2FC_IL13	P_IL13	FDR_IL13	shared_direction
hsa_circRNA_002375	hsa_circ_0002375	KITLG	up	0.926430782004163	0.0224424747549387	0.285183486298435	up	0.9668331360648	0.00248198139049662	0.335266174540636	up
hsa_circRNA_004183	hsa_circ_0004183	FRMD4A	up	0.77524830578963	0.0343716160758816	0.285183486298435	up	0.721118341009344	0.00393515106745235	0.335266174540636	up
hsa_circRNA_006542	hsa_circ_0006542	RIC8B	up	0.664344922001126	0.0326356572065463	0.285183486298435	up	0.778336028586067	0.043522308426179	0.335266174540636	up
hsa_circRNA_008689	hsa_circ_0008689	SLIT2	up	0.80457462626382	0.0202882441177338	0.285183486298435	up	0.85489357957938	0.0425609140473805	0.335266174540636	up
hsa_circRNA_021714	hsa_circ_0021714	CD44	up	0.666756591884803	0.0138118158758854	0.285183486298435	up	0.72246602447109	0.0468019571635663	0.335266174540636	up
hsa_circRNA_037654	hsa_circ_0037654	CREBBP	up	0.78117626956219	0.0309344378096336	0.285183486298435	up	0.63129155177663	0.045824257588592	0.335266174540636	up
hsa_circRNA_071935	hsa_circ_0071935	TRIO	up	0.640269872400253	0.0272983851772645	0.285183486298435	up	0.652076696579692	0.0483777554990951	0.335266174540636	up
hsa_circRNA_087192	hsa_circ_0087192	TMEM2	up	0.858885222697686	0.0290828566804166	0.285183486298435	up	0.644905041177439	0.0327549860027428	0.335266174540636	up
hsa_circRNA_088194	hsa_circ_0088194	TNC	up	2.40189639959078	0.0163148724536544	0.285183486298435	up	2.12350495298706	0.0153255940996448	0.335266174540636	up
hsa_circRNA_088200	hsa_circ_0088200	TNC	up	2.3537769609267	0.0168449265493102	0.285183486298435	up	2.10553441417236	0.0230946052352702	0.335266174540636	up
hsa_circRNA_100796	hsa_circ_0021727	CD44	up	1.0662671361923	0.0253218460470687	0.285183486298435	up	0.822603749126553	0.0296929138714654	0.335266174540636	up
hsa_circRNA_101621	hsa_circ_0002970	KIAA1199	up	0.976692626507931	0.0127860405140483	0.285183486298435	up	1.10906047574807	0.00808820010587452	0.335266174540636	up
hsa_circRNA_101622	hsa_circ_0003893	KIAA1199	up	2.03304690093438	0.00515221174972623	0.285183486298435	up	2.54089822818978	0.00515992116366853	0.335266174540636	up
hsa_circRNA_103383	hsa_circ_0065871	MAPKAPK3	up	0.800756832973271	0.0206753913305716	0.285183486298435	up	0.952251129008394	0.0227126365492911	0.335266174540636	up
hsa_circRNA_103517	hsa_circ_0067997	FNDC3B	up	0.880336904133622	0.0319904177447898	0.285183486298435	up	0.768559671886889	0.026556473935625	0.335266174540636	up
hsa_circRNA_103819	hsa_circ_0072305	LIFR	up	0.950812450372467	0.0131755175809998	0.285183486298435	up	0.873736227353828	0.0181589623467984	0.335266174540636	up
hsa_circRNA_103820	hsa_circ_0072309	LIFR	up	1.46780629521543	0.0162411471286613	0.285183486298435	up	1.05405290375691	0.0210953635571859	0.335266174540636	up
hsa_circRNA_104066	hsa_circ_0004032	ATXN1	up	0.593309843434676	0.0432338850432518	0.285183486298435	up	0.62983571945979	0.0306193142729963	0.335266174540636	up
hsa_circRNA_104641	hsa_circ_0084677	CSPP1	up	0.674599713205833	0.0227868806902178	0.285183486298435	up	0.598113868372461	0.00900709781329814	0.335266174540636	up
hsa_circRNA_104890	hsa_circ_0088209	PAPPA	up	0.86474658594594	0.0422072261264382	0.285183486298435	up	0.715488869239708	0.0398401482899986	0.335266174540636	up
hsa_circRNA_104892	hsa_circ_0002052	PAPPA	up	0.858843421201409	0.0417113795872368	0.285183486298435	up	0.796592953074461	0.0430192594266117	0.335266174540636	up
hsa_circRNA_104897	hsa_circ_0088227	PAPPA	up	0.692945181594168	0.0165406030365836	0.285183486298435	up	0.589937316136449	0.0167010437628951	0.335266174540636	up
hsa_circRNA_400780		LRP5	up	0.822581396282262	0.0313221984396986	0.285183486298435	up	0.807901500977152	0.0492728975825667	0.335266174540636	up
hsa_circRNA_403404		MAN2A1	up	0.920515216173183	0.00403126380285858	0.285183486298435	up	0.619219882943531	0.0244595475115359	0.335266174540636	up
hsa_circRNA_403406		MAN2A1	up	0.757585275231738	0.0260764361487717	0.285183486298435	up	0.656088085347538	0.0387995341666776	0.335266174540636	up
