assay	analysis_source	contrast	feature_id	log2_fold_change	raw_p_value	BH_FDR	direction	nominal_discovery	FDR_significant	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation	mean_CPM_vehicle	mean_CPM_treatment	mean_log2_CPM_plus_1_vehicle	mean_log2_CPM_plus_1_treatment	V_A	V_B	V_C	IL13_A	IL13_B	IL13_C	label_for_plot
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548ap-3p	0.611622378632441	0.422649730810374	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0.855795175466667	0	0.611622378632441	0	0	0	0	2.5673855264	0	hsa-miR-548ap-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548t-3p	0.00918663833848354	0.992515691526132	0.996311162621834	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.83194220303333	1.75427088533333	1.21619571195763	1.22538235029612	1.5208043723	0	3.9750222368	1.9956560747	0	3.2671565813	hsa-miR-548t-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548e-3p	1.87176888428775	0.0875759915128462	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	4.95240296566667	0.653900188765632	2.52566907305339	0	2.8952085334	0	2.9934841121	6.418463816	5.4452609689	hsa-miR-548e-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548az-3p	0.115793717367956	0.824842764995445	0.955943601815913	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0.427897587733333	0.281329139517312	0.397122856885267	0	0	0.7950044474	0	1.2836927632	0	hsa-miR-548az-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548bc	-0.281329139517312	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0	0.281329139517312	0	0	0	0.7950044474	0	0	0	hsa-miR-548bc
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-1537-3p	-0.653900188765632	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	0	0.653900188765632	0	0	2.8952085334	0	0	0	0	hsa-miR-1537-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548av-3p	-0.328834336566935	0.586238396063377	0.865752905578827	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.771936273233333	0.427897587733333	0.725957193452202	0.397122856885267	1.5208043723	0	0.7950044474	0	1.2836927632	0	hsa-miR-548av-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-320d	0.0169642622224853	0.915845865987048	0.972857097713563	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	12.6857830549	12.8982900434	3.76945281857846	3.78641708080095	12.1664349787	11.5808341337	14.3100800523	14.9674205605	12.836927632	10.8905219377	hsa-miR-320d
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-320b	-0.888134839191299	0.10197468933922	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	13.629116253	7.25026033406667	3.85294148821922	2.96480664902792	16.7288480957	13.0284384004	11.1300622629	10.9761084111	6.418463816	4.3562087751	hsa-miR-320b
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-320a-3p	-0.108227605887246	0.572350459317223	0.857164509503919	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	769.0162074927	711.845742885833	9.57658733787502	9.46835973198777	809.0679260823	862.7721429628	635.208553433	634.6186317667	676.5060862043	824.4125106865	hsa-miR-320a-3p
