feature_id	IL4_direction	IL4_nominal	IL4_FDR_significant	IL4_log2FC	IL4_P	IL4_FDR	IL13_direction	IL13_nominal	IL13_FDR_significant	IL13_log2FC	IL13_P	IL13_FDR
hsa-miR-548ap-3p	up	FALSE	FALSE	1.23464718844218	0.227304404930189	0.71519809890531	up	FALSE	FALSE	0.611622378632441	0.422649730810374	0.753091701676768
hsa-miR-548t-3p	down	FALSE	FALSE	-0.730791489644019	0.431815740337546	0.720900438986339	up	FALSE	FALSE	0.00918663833848354	0.992515691526132	0.996311162621834
hsa-miR-548e-3p	down	FALSE	FALSE	-0.0800583401325885	0.931175680853818	0.967139668527713	up	FALSE	FALSE	1.87176888428775	0.0875759915128462	0.753091701676768
hsa-miR-548az-3p	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.115793717367956	0.824842764995445	0.955943601815913
hsa-miR-548bc	up	FALSE	FALSE	0.777916931429344	0.28776535781928	0.71519809890531	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.753091701676768
hsa-miR-1537-3p	down	FALSE	FALSE	-0.653900188765632	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.653900188765632	0.422649730810374	0.753091701676768
hsa-miR-548av-3p	down	FALSE	FALSE	-0.725957193452202	0.203408229473114	0.71519809890531	down	FALSE	FALSE	-0.328834336566935	0.586238396063377	0.865752905578827
hsa-miR-320d	down	TRUE	FALSE	-1.17013943282932	0.0173384396916561	0.71519809890531	up	FALSE	FALSE	0.0169642622224853	0.915845865987048	0.972857097713563
hsa-miR-320b	down	FALSE	FALSE	-0.386315077044817	0.264952419473676	0.71519809890531	down	FALSE	FALSE	-0.888134839191299	0.10197468933922	0.753091701676768
hsa-miR-320a-3p	down	FALSE	FALSE	-0.269348472863539	0.200956261593601	0.71519809890531	down	FALSE	FALSE	-0.108227605887246	0.572350459317223	0.857164509503919
hsa-miR-320c	down	FALSE	FALSE	-0.642062720473238	0.420400432054752	0.71519809890531	down	FALSE	FALSE	-0.139308574069224	0.210038599626923	0.753091701676768
hsa-miR-4484	down	FALSE	FALSE	-0.586387173407926	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.586387173407926	0.422649730810374	0.753091701676768
hsa-miR-548ak	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
