feature_id	gene_symbol	direction_IL4	log2FC_IL4	P_IL4	FDR_IL4	direction_IL13	log2FC_IL13	P_IL13	FDR_IL13	shared_direction
ENSG00000005486	RHBDD2	up	0.78905920548856	1.65791531890667e-19	3.51603647253586e-17	up	0.716166777579277	6.36608625493068e-20	1.77059435073074e-17	up
ENSG00000006606	CCL26	up	8.2275686866098	6.79137737971777e-174	4.75294545919548e-170	up	7.9711058672757	1.68779262808994e-153	1.18255190487121e-149	up
ENSG00000011201	ANOS1	up	4.79001338825282	1.13073065191742e-79	1.97835461686102e-76	up	4.61105625911264	2.07530890857645e-64	3.63516296698523e-61	up
ENSG00000013297	CLDN11	down	-0.666668599026571	6.01007918828886e-07	2.9413663775692e-05	down	-0.596358905572686	4.06477769945554e-06	0.000197092491012009	down
ENSG00000016490	CLCA1	up	5.6811444085513	2.47119245748573e-74	3.84325342526974e-71	up	5.30481029465577	4.05985062255878e-23	1.4222671693479e-20	up
ENSG00000019186	CYP24A1	down	-1.3652298295124	8.40215838398633e-07	3.96975583935785e-05	down	-1.08886595229038	6.66620972876442e-05	0.00239522043408143	down
ENSG00000022267	FHL1	up	0.690345483183502	5.67409500858183e-10	4.6586243769587e-08	up	0.649398128235978	4.7794353121832e-08	3.54360989574726e-06	up
ENSG00000026508	CD44	up	1.00376413651017	2.89145090899252e-24	8.09432767463366e-22	up	0.984911214611282	4.3249190607616e-20	1.26260605830109e-17	up
ENSG00000029153	BMAL2	up	1.02002157696283	2.54175807221572e-15	3.63030487110239e-13	up	0.888647850585281	5.98543570984935e-08	4.36843284386036e-06	up
ENSG00000039139	DNAH5	down	-0.799529020150273	1.67870938485532e-07	8.86675292823394e-06	down	-1.03667005860123	3.85230744920764e-06	0.000188749595404709	down
ENSG00000041353	RAB27B	up	0.604309988323158	4.70857948140582e-10	3.92297541674031e-08	up	0.636830357441318	9.5023652946958e-11	1.11896340230733e-08	up
ENSG00000041982	TNC	up	3.80132221537403	5.73825940132551e-43	3.82468651620729e-40	up	3.49050842923416	2.4678485384666e-37	1.72909807847663e-34	up
ENSG00000049130	KITLG	up	1.87675814396504	1.92805704899489e-31	7.93735721022986e-29	up	1.84265280343635	3.20203851880735e-26	1.35970199284992e-23	up
ENSG00000049449	RCN1	up	0.884525663413208	2.78043992781515e-20	6.48630294493812e-18	up	0.896094821132379	1.55615659524479e-22	5.31863960223544e-20	up
ENSG00000050405	LIMA1	up	1.00051331114934	1.54140067996897e-23	3.99536765139365e-21	up	0.975914863230087	1.65346526668399e-20	5.14889084045396e-18	up
ENSG00000052795	FNIP2	up	1.01087729382277	6.74566747929284e-24	1.81575207130119e-21	up	0.980019251935211	3.83435105048967e-24	1.45218273704086e-21	up
