node_id	node_type	label	treatment_membership	discovery_status	FDR_status	network_scope
hsa-miR-135b-5p	miRNA	hsa-miR-135b-5p	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-215-5p	miRNA	hsa-miR-215-5p	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-320d	miRNA	hsa-miR-320d	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-3681-5p	miRNA	hsa-miR-3681-5p	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-4467	miRNA	hsa-miR-4467	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-4705	miRNA	hsa-miR-4705	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-625-3p	miRNA	hsa-miR-625-3p	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa-miR-135b-5p	miRNA	hsa-miR-135b-5p	IL13	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
ENSG00000041982	mRNA	TNC	IL4	FDR_significant	FDR_significant	restricted_historical_fibrosis_candidate
ENSG00000113594	mRNA	LIFR	IL4	FDR_significant	FDR_significant	restricted_historical_fibrosis_candidate
ENSG00000103888	mRNA	CEMIP	IL4	FDR_significant	FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_088194	circRNA	TNC	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_088200	circRNA	TNC	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_103819	circRNA	LIFR	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_103820	circRNA	LIFR	IL4	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
ENSG00000041982	mRNA	TNC	IL13	FDR_significant	FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_088194	circRNA	TNC	IL13	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
hsa_circRNA_088200	circRNA	TNC	IL13	nominal_discovery	not_FDR_significant	restricted_historical_fibrosis_candidate
