"Name","Chromosome","Region","Identifier","IL4_B_S8_L001 (trimmed, grouped on mature) - Total counts","IL4_B_S8_L001 (trimmed, grouped on mature) - RPKM","IL4_B_S8_L001 (trimmed, grouped on mature) - TPM","IL4_B_S8_L001 (trimmed, grouped on mature) - CPM","IL4_A_S7_L001 (trimmed, grouped on mature) - Total counts","IL4_A_S7_L001 (trimmed, grouped on mature) - RPKM","IL4_A_S7_L001 (trimmed, grouped on mature) - TPM","IL4_A_S7_L001 (trimmed, grouped on mature) - CPM","IL4_C_S9_L001 (trimmed, grouped on mature) - Total counts","IL4_C_S9_L001 (trimmed, grouped on mature) - RPKM","IL4_C_S9_L001 (trimmed, grouped on mature) - TPM","IL4_C_S9_L001 (trimmed, grouped on mature) - CPM","IL13_C_S6_L001 (trimmed, grouped on mature) - Total counts","IL13_C_S6_L001 (trimmed, grouped on mature) - RPKM","IL13_C_S6_L001 (trimmed, grouped on mature) - TPM","IL13_C_S6_L001 (trimmed, grouped on mature) - CPM","IL13_A_S4_L001 (trimmed, grouped on mature) - Total counts","IL13_A_S4_L001 (trimmed, grouped on mature) - RPKM","IL13_A_S4_L001 (trimmed, grouped on mature) - TPM","IL13_A_S4_L001 (trimmed, grouped on mature) - CPM","IL13_B_S5_L001 (trimmed, grouped on mature) - Total counts","IL13_B_S5_L001 (trimmed, grouped on mature) - RPKM","IL13_B_S5_L001 (trimmed, grouped on mature) - TPM","IL13_B_S5_L001 (trimmed, grouped on mature) - CPM","V_A_S1_L001 (trimmed, grouped on mature) - Total counts","V_A_S1_L001 (trimmed, grouped on mature) - RPKM","V_A_S1_L001 (trimmed, grouped on mature) - TPM","V_A_S1_L001 (trimmed, grouped on mature) - CPM","V_B_S2_L001 (trimmed, grouped on mature) - Total counts","V_B_S2_L001 (trimmed, grouped on mature) - RPKM","V_B_S2_L001 (trimmed, grouped on mature) - TPM","V_B_S2_L001 (trimmed, grouped on mature) - CPM","V_C_S3_L001 (trimmed, grouped on mature) - Total counts","V_C_S3_L001 (trimmed, grouped on mature) - RPKM","V_C_S3_L001 (trimmed, grouped on mature) - TPM","V_C_S3_L001 (trimmed, grouped on mature) - CPM"
"hsa-miR-548ap-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017875","2","NaN","NaN","4.5956989275","1","NaN","NaN","1.3288588857","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.5673855264","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548t-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014164","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.74387102","3","NaN","NaN","3.2671565813","2","NaN","NaN","1.9956560747","0","NaN","NaN","0","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","5","NaN","NaN","3.9750222368"
"hsa-miR-548e-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006344","1","NaN","NaN","2.2978494638","0","NaN","NaN","0","0","NaN","NaN","0","5","NaN","NaN","5.4452609689","3","NaN","NaN","2.9934841121","5","NaN","NaN","6.418463816","0","NaN","NaN","0","2","NaN","NaN","2.8952085334","0","NaN","NaN","0"
"hsa-miR-548az-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022212","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.2836927632","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
"hsa-miR-548f-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006374","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548bc","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0032315","1","NaN","NaN","2.2978494638","0","NaN","NaN","0","1","NaN","NaN","1.74387102","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
"hsa-miR-1537-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0007258","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.8952085334","0","NaN","NaN","0"
"hsa-miR-553","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003558","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-7844-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0025514","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548av-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019152","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.2836927632","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
