query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	plot_note
query_1	FALSE	1	57	30	1	0.0333333333333333	0.0175438596491228	GO:0000018	GO:BP	regulation of DNA recombination	5591	5	GO:0006310;GO:0051052	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	36	30	1	0.0333333333333333	0.0277777777777778	GO:0000041	GO:BP	transition metal ion transport	5591	15	GO:0030001	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	8	30	1	0.0333333333333333	0.125	GO:0000054	GO:BP	ribosomal subunit export from nucleus	5591	20	GO:0033750;GO:0042254;GO:0051168;GO:0051656	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	6	30	1	0.0333333333333333	0.166666666666667	GO:0000055	GO:BP	ribosomal large subunit export from nucleus	5591	21	GO:0000054	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	5	30	1	0.0333333333333333	0.2	GO:0000056	GO:BP	ribosomal small subunit export from nucleus	5591	22	GO:0000054	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	337	30	2	0.0666666666666667	0.00593471810089021	GO:0000122	GO:BP	negative regulation of transcription by RNA polymerase II	5591	47	GO:0006357;GO:0006366;GO:0045892	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	240	30	2	0.0666666666666667	0.00833333333333333	GO:0000165	GO:BP	MAPK cascade	5591	54	GO:0141124	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	299	30	1	0.0333333333333333	0.00334448160535117	GO:0000226	GO:BP	microtubule cytoskeleton organization	5591	60	GO:0007010;GO:0007017	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	40	30	1	0.0333333333333333	0.025	GO:0000123	GO:CC	histone acetyltransferase complex	5591	9	GO:0000785;GO:0031248	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	247	30	1	0.0333333333333333	0.00404858299595142	GO:0000139	GO:CC	Golgi membrane	5591	18	GO:0005794;GO:0098588	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	280	30	2	0.0666666666666667	0.00714285714285714	GO:0000323	GO:CC	lytic vacuole	5591	50	GO:0005773	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	34	30	1	0.0333333333333333	0.0294117647058824	GO:0000502	GO:CC	proteasome complex	5591	81	GO:0140535;GO:1905369	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	457	30	2	0.0666666666666667	0.00437636761487965	GO:0000785	GO:CC	chromatin	5591	89	GO:0005694;GO:0110165	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	91	30	2	0.0666666666666667	0.021978021978022	GO:0000922	GO:CC	spindle pole	5591	118	GO:0005819;GO:0110165	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	3	30	1	0.0333333333333333	0.333333333333333	GO:0001652	GO:CC	granular component	5591	147	GO:0005730;GO:0110165	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	5315	30	30	1	0.00564440263405456	GO:0005575	GO:CC	cellular_component	5591	193		No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	936	30	4	0.133333333333333	0.00427350427350427	GO:0000166	GO:MF	nucleotide binding	5591	31	GO:1901265;GO:1901363	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	408	30	3	0.1	0.00735294117647059	GO:0000976	GO:MF	transcription cis-regulatory region binding	5591	113	GO:0001067;GO:1990837	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	354	30	2	0.0666666666666667	0.00564971751412429	GO:0000977	GO:MF	RNA polymerase II transcription regulatory region sequence-specific DNA binding	5591	114	GO:0000976	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	309	30	1	0.0333333333333333	0.00323624595469256	GO:0000978	GO:MF	RNA polymerase II cis-regulatory region sequence-specific DNA binding	5591	115	GO:0000977;GO:0000987	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	324	30	1	0.0333333333333333	0.00308641975308642	GO:0000981	GO:MF	DNA-binding transcription factor activity, RNA polymerase II-specific	5591	117	GO:0003700	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	321	30	1	0.0333333333333333	0.00311526479750779	GO:0000987	GO:MF	cis-regulatory region sequence-specific DNA binding	5591	118	GO:0000976	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	18	30	1	0.0333333333333333	0.0555555555555556	GO:0001046	GO:MF	core promoter sequence-specific DNA binding	5591	135	GO:0000976	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	409	30	3	0.1	0.00733496332518337	GO:0001067	GO:MF	transcription regulatory region nucleic acid binding	5591	141	GO:0003676	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	2668	30	20	0.666666666666667	0.00749625187406297	KEGG:00000	KEGG	KEGG root term	5591	1		No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	24	30	1	0.0333333333333333	0.0416666666666667	KEGG:00510	KEGG	N-Glycan biosynthesis	5591	64	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	5	30	1	0.0333333333333333	0.2	KEGG:00511	KEGG	Other glycan degradation	5591	65	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	17	30	1	0.0333333333333333	0.0588235294117647	KEGG:00513	KEGG	Various types of N-glycan biosynthesis	5591	67	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	471	30	2	0.0666666666666667	0.00424628450106157	KEGG:01100	KEGG	Metabolic pathways	5591	184	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	21	30	1	0.0333333333333333	0.0476190476190476	KEGG:03050	KEGG	Proteasome	5591	221	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	49	30	2	0.0666666666666667	0.0408163265306122	KEGG:03083	KEGG	Polycomb repressive complex	5591	225	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	29	30	1	0.0333333333333333	0.0344827586206897	KEGG:03250	KEGG	Viral life cycle - HIV-1	5591	228	KEGG:00000	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
