query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	1	57	206	4	0.0194174757281553	0.0701754385964912	GO:0000018	GO:BP	regulation of DNA recombination	5592	5	GO:0006310;GO:0051052
query_1	FALSE	1	36	206	2	0.00970873786407767	0.0555555555555556	GO:0000041	GO:BP	transition metal ion transport	5592	15	GO:0030001
query_1	FALSE	1	55	206	5	0.0242718446601942	0.0909090909090909	GO:0000045	GO:BP	autophagosome assembly	5592	16	GO:0070925;GO:1905037
query_1	FALSE	1	102	206	7	0.0339805825242718	0.0686274509803922	GO:0000070	GO:BP	mitotic sister chromatid segregation	5592	23	GO:0000819;GO:0140014;GO:1903047
query_1	FALSE	1	98	206	10	0.0485436893203883	0.102040816326531	GO:0000075	GO:BP	cell cycle checkpoint signaling	5592	25	GO:0035556;GO:1901988
query_1	FALSE	1	10	206	2	0.00970873786407767	0.2	GO:0000076	GO:BP	DNA replication checkpoint signaling	5592	26	GO:0031570
query_1	FALSE	1	63	206	8	0.0388349514563107	0.126984126984127	GO:0000077	GO:BP	DNA damage checkpoint signaling	5592	27	GO:0031570;GO:0042770
query_1	FALSE	1	102	206	3	0.0145631067961165	0.0294117647058824	GO:0000082	GO:BP	G1/S transition of mitotic cell cycle	5592	30	GO:0044772;GO:0044843
query_1	FALSE	1	68	206	5	0.0242718446601942	0.0735294117647059	GO:0000086	GO:BP	G2/M transition of mitotic cell cycle	5592	33	GO:0044772;GO:0044839
query_1	FALSE	1	337	206	18	0.087378640776699	0.0534124629080119	GO:0000122	GO:BP	negative regulation of transcription by RNA polymerase II	5592	47	GO:0006357;GO:0006366;GO:0045892
query_1	FALSE	1	15	206	2	0.00970873786407767	0.133333333333333	GO:0000132	GO:BP	establishment of mitotic spindle orientation	5592	49	GO:0040001;GO:0051294
query_1	FALSE	1	240	206	7	0.0339805825242718	0.0291666666666667	GO:0000165	GO:BP	MAPK cascade	5592	54	GO:0141124
query_1	FALSE	1	26	206	1	0.00485436893203883	0.0384615384615385	GO:0000184	GO:BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	5592	56	GO:0000956
query_1	FALSE	1	131	206	3	0.0145631067961165	0.0229007633587786	GO:0000209	GO:BP	protein polyubiquitination	5592	58	GO:0016567
query_1	FALSE	1	299	206	12	0.058252427184466	0.040133779264214	GO:0000226	GO:BP	microtubule cytoskeleton organization	5592	60	GO:0007010;GO:0007017
query_1	FALSE	1	5	206	1	0.00485436893203883	0.2	GO:0000272	GO:BP	polysaccharide catabolic process	5592	74	GO:0005976;GO:0009057;GO:0016052
query_1	FALSE	1	427	206	21	0.101941747572816	0.0491803278688525	GO:0000278	GO:BP	mitotic cell cycle	5592	75	GO:0007049
query_1	FALSE	1	181	206	11	0.0533980582524272	0.0607734806629834	GO:0000280	GO:BP	nuclear division	5592	77	GO:0048285
query_1	FALSE	1	52	206	1	0.00485436893203883	0.0192307692307692	GO:0000281	GO:BP	mitotic cytokinesis	5592	78	GO:0061640;GO:1903047
query_1	FALSE	1	35	206	1	0.00485436893203883	0.0285714285714286	GO:0000288	GO:BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	5592	80	GO:0000956;GO:0061157
query_1	FALSE	1	7	206	1	0.00485436893203883	0.142857142857143	GO:0000290	GO:BP	deadenylation-dependent decapping of nuclear-transcribed mRNA	5592	82	GO:0000288;GO:0000956;GO:0110156
query_1	FALSE	1	60	206	5	0.0242718446601942	0.0833333333333333	GO:0000302	GO:BP	response to reactive oxygen species	5592	87	GO:0006979;GO:1901700
query_1	FALSE	1	140	206	3	0.0145631067961165	0.0214285714285714	GO:0000375	GO:BP	RNA splicing, via transesterification reactions	5592	106	GO:0008380
query_1	FALSE	1	139	206	3	0.0145631067961165	0.0215827338129496	GO:0000377	GO:BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	5592	108	GO:0000375
query_1	FALSE	1	30	206	2	0.00970873786407767	0.0666666666666667	GO:0000380	GO:BP	alternative mRNA splicing, via spliceosome	5592	111	GO:0000398
query_1	FALSE	1	22	206	1	0.00485436893203883	0.0454545454545455	GO:0000381	GO:BP	regulation of alternative mRNA splicing, via spliceosome	5592	112	GO:0000380;GO:0048024
query_1	FALSE	1	139	206	3	0.0145631067961165	0.0215827338129496	GO:0000398	GO:BP	mRNA splicing, via spliceosome	5592	120	GO:0000377;GO:0006397
query_1	FALSE	1	53	206	4	0.0194174757281553	0.0754716981132075	GO:0000422	GO:BP	autophagy of mitochondrion	5592	125	GO:0006914
query_1	FALSE	1	46	206	3	0.0145631067961165	0.0652173913043478	GO:0000423	GO:BP	mitophagy	5592	126	GO:0000422;GO:0016236
query_1	FALSE	1	7	206	2	0.00970873786407767	0.285714285714286	GO:0000425	GO:BP	pexophagy	5592	128	GO:0016236;GO:0030242
query_1	FALSE	1	94	206	4	0.0194174757281553	0.0425531914893617	GO:0000723	GO:BP	telomere maintenance	5592	199	GO:0006259;GO:0032200
query_1	FALSE	1	91	206	8	0.0388349514563107	0.0879120879120879	GO:0000724	GO:BP	double-strand break repair via homologous recombination	5592	200	GO:0000725;GO:0006302
query_1	FALSE	1	92	206	8	0.0388349514563107	0.0869565217391304	GO:0000725	GO:BP	recombinational repair	5592	201	GO:0006281;GO:0006310
query_1	FALSE	1	9	206	2	0.00970873786407767	0.222222222222222	GO:0000727	GO:BP	double-strand break repair via break-induced replication	5592	202	GO:0000724
query_1	FALSE	1	10	206	1	0.00485436893203883	0.1	GO:0000729	GO:BP	DNA double-strand break processing	5592	203	GO:0006259;GO:0006302
query_1	FALSE	1	4	206	1	0.00485436893203883	0.25	GO:0000730	GO:BP	DNA recombinase assembly	5592	204	GO:0045003;GO:0065004;GO:0090735
query_1	FALSE	1	22	206	1	0.00485436893203883	0.0454545454545455	GO:0000768	GO:BP	syncytium formation by plasma membrane fusion	5592	226	GO:0006949;GO:0140253
query_1	FALSE	1	124	206	7	0.0339805825242718	0.0564516129032258	GO:0000819	GO:BP	sister chromatid segregation	5592	229	GO:0051276;GO:0098813
query_1	FALSE	1	395	206	22	0.106796116504854	0.0556962025316456	GO:0000902	GO:BP	cell morphogenesis	5592	230	GO:0009653
query_1	FALSE	1	90	206	6	0.029126213592233	0.0666666666666667	GO:0000910	GO:BP	cytokinesis	5592	233	GO:0022402;GO:0051301
query_1	FALSE	1	68	206	3	0.0145631067961165	0.0441176470588235	GO:0000956	GO:BP	nuclear-transcribed mRNA catabolic process	5592	252	GO:0006402
query_1	FALSE	1	46	206	5	0.0242718446601942	0.108695652173913	GO:0001101	GO:BP	response to acid chemical	5592	275	GO:0042221
query_1	FALSE	1	172	206	14	0.0679611650485437	0.0813953488372093	GO:0001501	GO:BP	skeletal system development	5592	306	GO:0048731
query_1	FALSE	1	156	206	12	0.058252427184466	0.0769230769230769	GO:0001503	GO:BP	ossification	5592	308	GO:0032501
query_1	FALSE	1	36	206	1	0.00485436893203883	0.0277777777777778	GO:0001508	GO:BP	action potential	5592	311	GO:0042391
query_1	FALSE	1	184	206	6	0.029126213592233	0.0326086956521739	GO:0001525	GO:BP	angiogenesis	5592	318	GO:0048514;GO:0048646
query_1	FALSE	1	42	206	2	0.00970873786407767	0.0476190476190476	GO:0001539	GO:BP	cilium or flagellum-dependent cell motility	5592	319	GO:0048870
query_1	FALSE	1	17	206	4	0.0194174757281553	0.235294117647059	GO:0001541	GO:BP	ovarian follicle development	5592	320	GO:0008585;GO:0048856
query_1	FALSE	1	4	206	2	0.00970873786407767	0.5	GO:0001554	GO:BP	luteolysis	5592	333	GO:0008585;GO:0022602
query_1	FALSE	1	9	206	1	0.00485436893203883	0.111111111111111	GO:0001556	GO:BP	oocyte maturation	5592	335	GO:0003006;GO:0048469;GO:0048599
query_1	FALSE	1	135	206	5	0.0242718446601942	0.037037037037037	GO:0001558	GO:BP	regulation of cell growth	5592	336	GO:0016049;GO:0040008;GO:0051128
