query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	plot_note
query_1	FALSE	1	57	206	4	0.0194174757281553	0.0701754385964912	GO:0000018	GO:BP	regulation of DNA recombination	5592	5	GO:0006310;GO:0051052	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	36	206	2	0.00970873786407767	0.0555555555555556	GO:0000041	GO:BP	transition metal ion transport	5592	15	GO:0030001	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	55	206	5	0.0242718446601942	0.0909090909090909	GO:0000045	GO:BP	autophagosome assembly	5592	16	GO:0070925;GO:1905037	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	102	206	7	0.0339805825242718	0.0686274509803922	GO:0000070	GO:BP	mitotic sister chromatid segregation	5592	23	GO:0000819;GO:0140014;GO:1903047	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	98	206	10	0.0485436893203883	0.102040816326531	GO:0000075	GO:BP	cell cycle checkpoint signaling	5592	25	GO:0035556;GO:1901988	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	10	206	2	0.00970873786407767	0.2	GO:0000076	GO:BP	DNA replication checkpoint signaling	5592	26	GO:0031570	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	63	206	8	0.0388349514563107	0.126984126984127	GO:0000077	GO:BP	DNA damage checkpoint signaling	5592	27	GO:0031570;GO:0042770	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	102	206	3	0.0145631067961165	0.0294117647058824	GO:0000082	GO:BP	G1/S transition of mitotic cell cycle	5592	30	GO:0044772;GO:0044843	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	4	206	1	0.00485436893203883	0.25	GO:0000109	GO:CC	nucleotide-excision repair complex	5592	2	GO:0140513	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	40	206	3	0.0145631067961165	0.075	GO:0000123	GO:CC	histone acetyltransferase complex	5592	9	GO:0000785;GO:0031248	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	247	206	8	0.0388349514563107	0.0323886639676113	GO:0000139	GO:CC	Golgi membrane	5592	18	GO:0005794;GO:0098588	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	156	206	8	0.0388349514563107	0.0512820512820513	GO:0000151	GO:CC	ubiquitin ligase complex	5592	23	GO:0140535;GO:1990234	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	25	206	1	0.00485436893203883	0.04	GO:0000152	GO:CC	nuclear ubiquitin ligase complex	5592	24	GO:0000151;GO:0140513	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	115	206	6	0.029126213592233	0.0521739130434783	GO:0000228	GO:CC	nuclear chromosome	5592	37	GO:0005694;GO:0031981	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	17	206	4	0.0194174757281553	0.235294117647059	GO:0000242	GO:CC	pericentriolar material	5592	39	GO:0005813;GO:0110165	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	29	206	1	0.00485436893203883	0.0344827586206897	GO:0000307	GO:CC	cyclin-dependent protein kinase holoenzyme complex	5592	42	GO:1902554	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	13	206	1	0.00485436893203883	0.0769230769230769	GO:0000030	GO:MF	mannosyltransferase activity	5592	8	GO:0016758	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
query_1	FALSE	1	33	206	2	0.00970873786407767	0.0606060606060606	GO:0000049	GO:MF	tRNA binding	5592	15	GO:0003723	No terms passed adjusted P < 0.05; top adjusted terms shown for transparency.
