miRNA	target	score	hyb_energy	mir.strt	mir.stp	gene.strt	gene.stp	Type	target_id	target_label	target_type	gene_symbol	mir_start	mir_end	target_start	target_end	coordinate_1	coordinate_2	coordinate_3	coordinate_4	original_coordinate_columns	coordinate_status	coordinate_interpretation	candidate_axis	figure4D_candidate	experimentally_evaluated	experimental_result	notes
let-7e-5p	ABHD17C	143	-21.22	48636	22	1251	1	mRNA	ABHD17C	ABHD17C	mRNA	ABHD17C	48636	22	1251	1	48636	22	1251	1	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	ANOS1	283	-31.26	48657	22	4121	3731 3848	mRNA	ANOS1	ANOS1	mRNA	ANOS1	48657	22	4121	3731 3848	48657	22	4121	3731 3848	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	C3orf18	160	-25.72	49258	22	825	267	mRNA	C3orf18	C3orf18	mRNA	C3orf18	49258	22	825	267	49258	22	825	267	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	CD36	145	-16.3	49353	22	297	186	mRNA	CD36	CD36	mRNA	CD36	49353	22	297	186	49353	22	297	186	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	CDH6	147	-24.01	48668	22	5838	3480	mRNA	CDH6	CDH6	mRNA	CDH6	48668	22	5838	3480	48668	22	5838	3480	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	CEMIP	280	-35.24	48591	22	2852	175 534	mRNA	CEMIP	CEMIP	mRNA	CEMIP	48591	22	2852	175 534	48591	22	2852	175 534	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7e-5p	circLIFR	143	-19.56	11400	22	2689	1312	circRNA	circLIFR	circLIFR	circRNA	LIFR	11400	22	2689	1312	11400	22	2689	1312	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7e-5p	circMAPKAPK3	300	-45.93	11740	22	2679	77 2005	circRNA	circMAPKAPK3	circMAPKAPK3	circRNA	MAPKAPK3	11740	22	2679	77 2005	11740	22	2679	77 2005	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		no	no		
let-7e-5p	circPAPPA	150	-19.91	11579	22	1254	851	circRNA	circPAPPA	circPAPPA	circRNA	PAPPA	11579	22	1254	851	11579	22	1254	851	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
let-7e-5p	circTNC	151	-16.04	11365	22	4428	743	circRNA	circTNC	circTNC	circRNA	TNC	11365	22	4428	743	11365	22	4428	743	mir.strt; mir.stp; gene.strt; gene.stp	original_column_preserved_interpretation_uncertain	Original workbook labels are preserved, but values were not independently verified as mature-miRNA or target coordinate fields; public wording should report miRanda scores and predicted binding energies only unless Quentin confirms interpretation.		yes	no		pro-fibrotic Figure 4D subnetwork candidate connected to CEMIP, TNC, LIFR, or related circRNA partner
