feature_id	V_A	V_B	V_C	IL4_A	IL4_B	IL4_C
FHDC1|hsa_circRNA_403254	5.48444553604821	5.11281986593117	5.4628006918294	5.95141643301414	6.012285204162	5.80284186733308
MAN2A1|hsa_circRNA_403404	6.59855022372492	6.80867942498266	6.69878312842714	7.37689794394289	7.4041252560364	7.27060768318819
KIAA1199|hsa_circRNA_101622	5.56283886932124	5.51631583478697	4.94343089252499	7.11596941267868	7.03149548410845	7.07137398063093
HSDL2|hsa_circRNA_104883	5.81285712881709	5.63638566598391	5.55433591450838	6.17087278337811	6.22972857310667	6.08019773574485
FBXL4|hsa_circRNA_077417	5.51631583478697	5.95658807580039	5.68237304960349	5.90936201828689	6.39693931636701	6.24618815493593
SFMBT2|hsa_circRNA_100540	6.73045254282778	6.40547402489005	6.6509334076745	7.00115900654381	7.06839117304184	6.96376418159177
TET2|hsa_circRNA_103709	5.40533379075805	5.30144882078269	5.29329627187809	5.81000271302934	5.87563221802881	5.88921891490244
HIVEP3|hsa_circRNA_100189	5.49869710127276	5.82986603216671	5.55433591450838	5.84109490760088	6.11125357393365	6.06231805434689
EML4|hsa_circRNA_102701	6.55446238863621	6.7034050521465	6.39884028634863	7.02227637163145	7.11307748783555	6.91412044934009
EIF2C4|hsa_circRNA_003986	5.75837379211052	5.65161253453686	5.34745245253435	6.21253874200594	6.20712464321783	5.99101999949254
EHBP1|hsa_circRNA_405898	6.39598789124402	6.36957475152177	6.3739301287216	6.62680551557446	6.84678001706176	6.88931919062691
BRWD1|hsa_circRNA_103131	6.06351695167333	6.29600018578921	6.03324150913123	6.41489819171465	6.54933690639214	6.43449079906944
NPAT|hsa_circRNA_400828	5.2602174211123	5.63638566598391	5.22421972932319	5.81000271302934	5.88921891490244	5.75020702583653
PLK1|hsa_circRNA_038632	7.57610709093642	8.3019665222527	8.13381342687199	8.49637705793112	8.68257557769777	8.34549190931807
ATG4C|hsa_circRNA_012823	4.85203127965962	5.17404169031652	4.94343089252499	5.43897974642249	5.42412277632887	5.5457825477228
KTN1|hsa_circRNA_032029	5.99353811840747	6.14731991755474	5.72466799006262	6.49794201865506	6.50854458502178	6.4683766741274
HSDL2|hsa_circRNA_104882	6.03201717590397	5.86741835481651	5.85639328163158	6.29344782981337	6.31877043956592	6.25513528176376
KIAA1199|hsa_circRNA_101621	6.79503071476916	6.82220021989192	7.13662188638456	7.65775578341604	7.6727599243457	7.4579971774701
PPAP2B|hsa_circRNA_002861	5.2602174211123	4.94863118885259	5.29329627187809	5.79996754728668	5.706364303666	5.73222651568804
LIFR|hsa_circRNA_103819	5.45185526188975	5.22207398427893	4.90113959980343	5.83127443044392	5.82986603216671	6.04178287196752
TRPS1|hsa_circRNA_085362	7.9797750296865	8.17127458395558	7.43872333795488	8.71049109711156	8.56390630772282	8.6939421690243
KPNA5|hsa_circRNA_006146	5.69480544120155	5.60626403535579	5.19388493403833	5.86604481949155	6.11125357393365	6.04178287196752
GLI3|hsa_circRNA_406945	7.2001366423589	6.90277819537926	7.17650656114671	7.49289986818817	7.49312232767929	7.54382737804439
MSH2|hsa_circRNA_054469	6.08256503830745	6.09785853960493	5.99856120889289	6.36423359457414	6.39693931636701	6.3739301287216
CD44|hsa_circRNA_021714	5.2602174211123	4.94863118885259	4.63049561219201	5.43897974642249	5.52852216209842	5.36894619216966
KIF13A|hsa_circRNA_104076	7.6940102325508	7.66369712517538	7.23832601529052	8.07736516808137	8.0915387294869	8.22851186877395
CEP192|hsa_circRNA_092450	5.97581828286592	5.88921891490244	5.64040834403501	6.36423359457414	6.35936077812737	6.25513528176376
KRT5|hsa_circRNA_026457	10.671042277708	12.1336034044457	10.6010924864904	12.4955198978703	12.9088184491434	12.3291711297345
ZEB1|hsa_circRNA_004907	9.37006395545873	9.02141983750749	9.40500570936103	9.44637705720428	9.59917433480315	9.71375420112583
CTDSPL2|hsa_circRNA_101508	12.1255543120396	11.451264115303	12.1498150562618	11.9951753598957	12.4348287572578	12.5383620990994
