feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-548ap-3p	hsa-miR-548ap-3p	0.611622378632441	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548t-3p	hsa-miR-548t-3p	0.00918663833848354	0.992515691526132	0.996311162621834	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548e-3p	hsa-miR-548e-3p	1.87176888428775	0.0875759915128462	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548az-3p	hsa-miR-548az-3p	0.115793717367956	0.824842764995445	0.955943601815913	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548bc	hsa-miR-548bc	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1537-3p	hsa-miR-1537-3p	-0.653900188765632	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548av-3p	hsa-miR-548av-3p	-0.328834336566935	0.586238396063377	0.865752905578827	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320d	hsa-miR-320d	0.0169642622224853	0.915845865987048	0.972857097713563	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320b	hsa-miR-320b	-0.888134839191299	0.10197468933922	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320a-3p	hsa-miR-320a-3p	-0.108227605887246	0.572350459317223	0.857164509503919	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320c	hsa-miR-320c	-0.139308574069224	0.210038599626923	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4484	hsa-miR-4484	-0.586387173407926	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ak	hsa-miR-548ak	0.354282845927852	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548w	hsa-miR-548w	0.501144781087213	0.567527066738411	0.851821103798374	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548y	hsa-miR-548y	-0.430456773071619	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548h-5p	hsa-miR-548h-5p	-0.105925838630523	0.847994984424621	0.967820362658535	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ar-5p	hsa-miR-548ar-5p	-0.653900188765632	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548a-5p	hsa-miR-548a-5p	-0.430456773071619	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548i	hsa-miR-548i	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548j-5p	hsa-miR-548j-5p	1.40564498597199	0.100238374532435	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548au-5p	hsa-miR-548au-5p	0.299515444726822	0.813734384566331	0.955943601815913	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548c-5p	hsa-miR-548c-5p	0.386676777827144	0.754758400779819	0.938893632400183	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ab	hsa-miR-548ab	0.527624000121103	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548b-5p	hsa-miR-548b-5p	0.611622378632441	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ad-5p	hsa-miR-548ad-5p	0.575922369894362	0.0527223971965025	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ay-5p	hsa-miR-548ay-5p	-1.40472006498471	0.0294677761680044	0.753091701676768	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-548d-5p	hsa-miR-548d-5p	-0.113131467247338	0.90394987550061	0.972857097713563	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548av-5p	hsa-miR-548av-5p	-0.444628053934891	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548k	hsa-miR-548k	0.0137252066362987	0.987169699355099	0.993406854250312	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548l	hsa-miR-548l	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-106a-5p	hsa-miR-106a-5p	-0.200176318864325	0.615895595941241	0.892809133895162	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548at-5p	hsa-miR-548at-5p	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-495-3p	hsa-miR-495-3p	-0.432514477537658	0.654773051311151	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-543	hsa-miR-543	-0.684708446035337	0.210321740101728	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3129-3p	hsa-miR-3129-3p	-0.769289192049037	0.334513520402834	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-641	hsa-miR-641	0.838217523328271	0.218902965682789	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3617-5p	hsa-miR-3617-5p	-1.38595673828153	0.0714288966360785	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10527-5p	hsa-miR-10527-5p	-0.29961734283778	0.713375524332931	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320e	hsa-miR-320e	0.07295370641054	0.880085923273483	0.972726546775955	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-651-3p	hsa-miR-651-3p	0.807070731779819	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
