feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000000003	TSPAN6	TSPAN6	-0.0528423872145499	0.60033390062359	0.902661253306305	FALSE	FALSE	down
ENSG00000000419	DPM1	DPM1	0.073051986988804	0.442485640140893	0.830669461514496	FALSE	FALSE	up
ENSG00000000457	SCYL3	SCYL3	-0.0735327949595408	0.662086332238799	0.924769812110054	FALSE	FALSE	down
ENSG00000000460	FIRRM	FIRRM	0.0461111007278727	0.721173029548539	0.944978364968255	FALSE	FALSE	up
ENSG00000000971	CFH	CFH	-0.543348235181416	0.0283382620723359	0.220606593006944	FALSE	FALSE	down
ENSG00000001036	FUCA2	FUCA2	0.0639653443165713	0.428156445527144	0.820721140515398	FALSE	FALSE	up
ENSG00000001084	GCLC	GCLC	0.144822264860683	0.0837514983210869	0.412341579679849	FALSE	FALSE	up
ENSG00000001167	NFYA	NFYA	0.0293056379292754	0.714596142108275	0.943366651419936	FALSE	FALSE	up
ENSG00000001460	STPG1	STPG1	-0.361753963276596	0.190800617868657	0.617076960045854	FALSE	FALSE	down
ENSG00000001461	NIPAL3	NIPAL3	-0.443879195011724	0.00484233443400593	0.0623534085306173	FALSE	FALSE	down
ENSG00000001497	LAS1L	LAS1L	-0.127053703789281	0.196299387277179	0.624557211690575	FALSE	FALSE	down
ENSG00000001617	SEMA3F	SEMA3F	-0.178215218795245	0.472352220746875	0.848482116433252	FALSE	FALSE	down
ENSG00000001629	ANKIB1	ANKIB1	-0.0213665936272094	0.802019454101056	0.964090200880495	FALSE	FALSE	down
ENSG00000001630	CYP51A1	CYP51A1	0.1893903118384	0.138066094049212	0.53740576151469	FALSE	FALSE	up
ENSG00000001631	KRIT1	KRIT1	-0.115822030488235	0.516933012669176	0.868547861927602	FALSE	FALSE	down
ENSG00000002016	RAD52	RAD52	-0.256344751122832	0.0761120802390438	0.392464181044626	FALSE	FALSE	down
ENSG00000002330	BAD	BAD	0.372660313035065	0.012520717111902	0.125001767057983	FALSE	FALSE	up
ENSG00000002549	LAP3	LAP3	-0.655285350910632	0.00457703084759862	0.0598176477813612	TRUE	FALSE	down
ENSG00000002746	HECW1	HECW1	-0.0330900313079073	0.857291974418661	0.973121267073741	FALSE	FALSE	down
ENSG00000002834	LASP1	LASP1	0.128439653188703	0.176961827371405	0.597230523428196	FALSE	FALSE	up
ENSG00000002919	SNX11	SNX11	-0.314659698897086	0.0368656414587482	0.257733843153819	FALSE	FALSE	down
ENSG00000003056	M6PR	M6PR	0.0807318300318935	0.28316860197866	0.720847222405412	FALSE	FALSE	up
ENSG00000003137	CYP26B1	CYP26B1	-0.464883012409255	0.258235315702995	0.693604946471689	FALSE	FALSE	down
ENSG00000003249	DBNDD1	DBNDD1	0.329830544734098	0.253907777286505	0.688882953804849	FALSE	FALSE	up
ENSG00000003393	ALS2	ALS2	0.203872095183189	0.0301289181608412	0.22833966551782	FALSE	FALSE	up
ENSG00000003400	CASP10	CASP10	-0.026223953830741	0.919827478947578	0.984035252565691	FALSE	FALSE	down
ENSG00000003402	CFLAR	CFLAR	-0.137930328893432	0.0622603837184428	0.35067610384904	FALSE	FALSE	down
ENSG00000003436	TFPI	TFPI	0.0447718950753252	0.629704697566566	0.912670486577673	FALSE	FALSE	up
ENSG00000003509	NDUFAF7	NDUFAF7	-0.115924216374895	0.320385338865634	0.750904470001313	FALSE	FALSE	down
ENSG00000003756	RBM5	RBM5	0.0845076358964411	0.302997731321269	0.735004373655163	FALSE	FALSE	up
ENSG00000003989	SLC7A2	SLC7A2	-0.262216631384142	0.215038076743163	0.646020107322344	FALSE	FALSE	down
ENSG00000004059	ARF5	ARF5	-0.0460387865556797	0.694212222219134	0.936086564016874	FALSE	FALSE	down
ENSG00000004139	SARM1	SARM1	-0.166330288504771	0.24277739152591	0.678519972863621	FALSE	FALSE	down
ENSG00000004142	POLDIP2	POLDIP2	-0.0139031849587868	0.876559290129412	0.976764194975847	FALSE	FALSE	down
ENSG00000004399	PLXND1	PLXND1	-0.0617010953173158	0.585834860622733	0.897865715549862	FALSE	FALSE	down
ENSG00000004455	AK2	AK2	0.0511579958394724	0.544957986017957	0.881777118848844	FALSE	FALSE	up
ENSG00000004478	FKBP4	FKBP4	0.120927241369462	0.461280215759893	0.839929644853808	FALSE	FALSE	up
ENSG00000004487	KDM1A	KDM1A	0.0288530850367038	0.704542642168381	0.94060285247743	FALSE	FALSE	up
ENSG00000004534	RBM6	RBM6	0.0254458496429768	0.736989906210458	0.951034880230934	FALSE	FALSE	up
ENSG00000004660	CAMKK1	CAMKK1	0.0444466955485174	0.744898398243123	0.953877727397825	FALSE	FALSE	up
ENSG00000004700	RECQL	RECQL	0.0356834130398218	0.674056555480988	0.927614748507264	FALSE	FALSE	up
