sample_1	sample_2	pearson_correlation
CPM_co_Vehicle_13	CPM_co_Vehicle_13	1
CPM_co_Vehicle_14	CPM_co_Vehicle_13	0.990576865688757
CPM_co_Vehicle_15	CPM_co_Vehicle_13	0.994881466379614
CPM_ca_IL4_16	CPM_co_Vehicle_13	0.982740538763036
CPM_ca_IL4_17	CPM_co_Vehicle_13	0.983234751874974
CPM_ca_IL4_18	CPM_co_Vehicle_13	0.985548922052304
CPM_co_Vehicle_13	CPM_co_Vehicle_14	0.990576865688757
CPM_co_Vehicle_14	CPM_co_Vehicle_14	1
CPM_co_Vehicle_15	CPM_co_Vehicle_14	0.99225999133404
CPM_ca_IL4_16	CPM_co_Vehicle_14	0.988878807843239
CPM_ca_IL4_17	CPM_co_Vehicle_14	0.988752005332028
CPM_ca_IL4_18	CPM_co_Vehicle_14	0.983587081309931
CPM_co_Vehicle_13	CPM_co_Vehicle_15	0.994881466379614
CPM_co_Vehicle_14	CPM_co_Vehicle_15	0.99225999133404
CPM_co_Vehicle_15	CPM_co_Vehicle_15	1
CPM_ca_IL4_16	CPM_co_Vehicle_15	0.985249286471338
CPM_ca_IL4_17	CPM_co_Vehicle_15	0.985501280998136
CPM_ca_IL4_18	CPM_co_Vehicle_15	0.988874075948954
CPM_co_Vehicle_13	CPM_ca_IL4_16	0.982740538763036
CPM_co_Vehicle_14	CPM_ca_IL4_16	0.988878807843239
CPM_co_Vehicle_15	CPM_ca_IL4_16	0.985249286471338
CPM_ca_IL4_16	CPM_ca_IL4_16	1
CPM_ca_IL4_17	CPM_ca_IL4_16	0.996696425686879
CPM_ca_IL4_18	CPM_ca_IL4_16	0.991862630872131
CPM_co_Vehicle_13	CPM_ca_IL4_17	0.983234751874974
CPM_co_Vehicle_14	CPM_ca_IL4_17	0.988752005332028
CPM_co_Vehicle_15	CPM_ca_IL4_17	0.985501280998136
CPM_ca_IL4_16	CPM_ca_IL4_17	0.996696425686879
CPM_ca_IL4_17	CPM_ca_IL4_17	1
CPM_ca_IL4_18	CPM_ca_IL4_17	0.992389122734194
CPM_co_Vehicle_13	CPM_ca_IL4_18	0.985548922052304
CPM_co_Vehicle_14	CPM_ca_IL4_18	0.983587081309931
CPM_co_Vehicle_15	CPM_ca_IL4_18	0.988874075948954
CPM_ca_IL4_16	CPM_ca_IL4_18	0.991862630872131
CPM_ca_IL4_17	CPM_ca_IL4_18	0.992389122734194
CPM_ca_IL4_18	CPM_ca_IL4_18	1
